"Index","Value","Change Net / %"
"NASDAQ","11199.85","53.39 ? 0.48%"
"NASDAQ-100 (NDX)","11392.04","73.4 ? 0.65%"
"Pre-Market (NDX)","11288.36","-30.28 ? 0.27%"
"After Hours (NDX)","11331.00","12.36 ? 0.11%"
"DJIA","27690.97","-1.91 ? 0.01%"
"S&P 500","3377.69","2.84 ? 0.08%"
"Russell 2000","1568.37","-3.69 ? 0.23%"
